sample_index,publication_id,reference_id,reference_order,original_doi,fallback_status,fallback_doi,fallback_title,fallback_publisher,fallback_year,crossref_score,confidence,title_coverage,title_similarity,title_token_count,author_coverage,year_match,query,context
52,1188828,17270294,27,10.13140/rg.2.1.4948.1768,no_match,10.3362/9781780441214.015,15. Methodological issues in participatory monitoring and evaluation,Practical Action Publishing,2000,40.43018,0.5437,0.6,0.3186,5,1.0,False,"Guijt, I.M. (2014). Participatory Approaches. Methodological Briefs Impact Evaluation No. 5. UNICEF Office of Research, Florence. org/","Guijt, I.M. (2014). Participatory Approaches. Methodological Briefs Impact Evaluation No. 5. UNICEF Office of Research, Florence. https://doi. org/10.13140/RG.2.1.4948.1768"
78,1257215,20387023,3,10.22080/jgr.2022.23949.1324,no_match,10.1016/b978-0-12-823733-5.00001-5,"Probiotics in the prevention and treatment of infections with Helicobacter pylori, Enterohemorrhagic Escherichia coli, and Rotavirus",Elsevier,2022,48.486008,0.5067,0.6,0.3836,10,0.0,True,"Alipour M, Mofarrah R. 2022. Probiotics for Treatment of Helicobacter pylori Infections and Gastric Cancer Prevention. Journal of Genetic Resources, 8(2): 244-254. Doi:","Alipour M, Mofarrah R. 2022. Probiotics for Treatment of Helicobacter pylori Infections and Gastric Cancer Prevention. Journal of Genetic Resources, 8(2): 244-254. Doi: 10.22080/jgr.2022.23949.1324"
125,1258017,20526969,2,10.5923/j.ijit.20160501.05,no_match,10.1007/978-94-007-6321-0_3,Governance in Saudi Higher Education,Springer Netherlands,2013,37.828575,0.4606,0.75,0.2403,4,0.0,False,"Alblehai, F. (2016). The utilization of Web 2.0 tools in Saudi Higher Education: Opportunities and challenges. International Journal of Internet of Things, 5(1), 37-40","Alblehai, F. (2016). The utilization of Web 2.0 tools in Saudi Higher Education: Opportunities and challenges. International Journal of Internet of Things, 5(1), 37-40. http://doi.org/ 10.5923/j.ijit.20160501.05"
268,1326191,23640866,38,10.2305/iucn.uk.2018-,no_match,10.2305/iucn.uk.2018-2.rlts.t18990540a57467022.en,"Pancratium maritimum: Juan Vicedo, J.",IUCN,2015,109.57921,0.5687,1.0,0.0933,4,0.0,False,"Güner A., Özhatay N., Ekim T. & Başer K. H. C. (2000). Flora of Turkey and the east Aegean islands Vol. 11. Edinburgh Univ. Press, Edinburgh.Juan Vicedo, J. (2018). Pancratium maritimum. The IUCN Red List of Threatened Species 2018: e.T18990540A57467022","Güner A., Özhatay N., Ekim T. & Başer K. H. C. (2000). Flora of Turkey and the east Aegean islands Vol. 11. Edinburgh Univ. Press, Edinburgh.Juan Vicedo, J. (2018). Pancratium maritimum. The IUCN Red List of Threatened Species 2018: e.T18990540A57467022. http://dx.doi.org/10.2305/IUCN.UK.2018-"
378,1238342,19609166,3,10.1016/j,strong,10.1016/j.forsciint.2011.07.047,Serum biochemical markers in drowning: Diagnostic efficacy of Strontium and other trace elements,Elsevier BV,2011,149.21861,1.0,1.0,1.0,10,1.0,True,"3. Pérez-Cárceles MD, del Pozo S, Sibón A, Noguera JA, Osuna E et al. Serum biochemical markers in drowning: diagnostic efficacy of Strontium and other trace elements. Forensic Science International 2012; 214 (1-3): 159-166. . forsciint.2011.07.047","3. Pérez-Cárceles MD, del Pozo S, Sibón A, Noguera JA, Osuna E et al. Serum biochemical markers in drowning: diagnostic efficacy of Strontium and other trace elements. Forensic Science International 2012; 214 (1-3): 159-166. https://doi.org/10.1016/j. forsciint.2011.07.047"
568,1374706,25605332,5,10.13140/rg.2.2.26973.05608,no_match,10.4324/9780203760215-20,On Cultural Studies,Routledge,2014,47.775345,0.6878,1.0,0.1891,2,0.0,True,"Almerico, G. M. (2014). Food and identity: Food studies, cultural, and personal identity. Journal of International Business and Cultural Studies, 8, 1-8","Almerico, G. M. (2014). Food and identity: Food studies, cultural, and personal identity. Journal of International Business and Cultural Studies, 8, 1-8. https://doi.org/10.13140/RG.2.2.26973.05608"
569,1374706,25605348,21,10.9790/0837-2110060106,no_match,10.9790/0837-106,,IOSR Journals,2013,63.41363,0.0,0.0,0.0,0,0.0,False,"Diker, O., Deniz, T., Çetinkaya, A. (2016, October). History of Turkish cuisine culture and the ınfluence of the Balkans. IOSR Journal of Humanities And Social Science (IOSR-JHSS), 21(10), 1-6","Diker, O., Deniz, T., Çetinkaya, A. (2016, October). History of Turkish cuisine culture and the ınfluence of the Balkans. IOSR Journal of Humanities And Social Science (IOSR-JHSS), 21(10), 1-6. https://doi.org/10.9790/0837-2110060106"
766,1218084,19302567,30,10.1038/s41415.020.2406-9,strong,10.1038/s41415-020-2406-9,"The COVID-19 pandemic and dentistry: the clinical, legal and economic consequences - part 2: consequences of withholding dental care",Springer Science and Business Media LLC,2020,168.0862,1.0,1.0,1.0,12,1.0,True,"[30] Coulthard P, Thomson P, Dave M, Coulthard FP, Seoudi N, Hill M. The COVID-19 pandemic and dentistry: the clinical, legal and economic consequences-part 2: Consequences of withholding dental care. Br Dent J. 2020;229(12):801-805. DOI:","[30] Coulthard P, Thomson P, Dave M, Coulthard FP, Seoudi N, Hill M. The COVID-19 pandemic and dentistry: the clinical, legal and economic consequences-part 2: Consequences of withholding dental care. Br Dent J. 2020;229(12):801-805. DOI: 10.1038/s41415.020.2406-9"
1172,1232603,19982354,2,10.16984/saufbed.04643,no_match,10.53433/yyufbed.1502963,Yalıtım Malzemesi Poliüretan Köpüğün Alev Direncini Arttıracak Reçine Katkılı Poliüretan Kompozit Sentezi,Van Yuzuncu Yil University,2024,63.191917,0.2796,0.4167,0.2524,12,0.0,False,"Aydın, H., Ekmekçi, İ. (2002). Isı yalıtım malzemesi olarak poliüretan köpüğün fiziksel ve kimyasal özellik- leri, üretimi ve incelenmesi. Sakarya University Journal of Science, 6(1), 45-50","Aydın, H., Ekmekçi, İ. (2002). Isı yalıtım malzemesi olarak poliüretan köpüğün fiziksel ve kimyasal özellik- leri, üretimi ve incelenmesi. Sakarya University Journal of Science, 6(1), 45-50. https://doi.org/10.16984/SAUFBED.04643"
1239,1369890,25426417,15,10.1007/s00266-024-03961-,strong,10.1007/s00266-024-03961-y,Comparison of Aesthetic and Functional Rhinoplasty Outcomes Between Patients with Body Dysmorphic Disorder and Normal Individuals,Springer Science and Business Media LLC,2024,186.14966,1.0,1.0,1.0,12,1.0,True,"Moosaie F, Javankiani S, Mansournia MA, Rahavi S, Najeeb ZJ, Mohammadi S, Saedi B. (2024). Comparison of aesthetic and functional rhinoplasty outcomes between patients with body dysmorphic disorder and normal ındividuals. Aesthetic Plast Surg. 2024 Oct;48(20):4121-4129. DOI: y","Moosaie F, Javankiani S, Mansournia MA, Rahavi S, Najeeb ZJ, Mohammadi S, Saedi B. (2024). Comparison of aesthetic and functional rhinoplasty outcomes between patients with body dysmorphic disorder and normal ındividuals. Aesthetic Plast Surg. 2024 Oct;48(20):4121-4129. DOI: https://doi.org/10.1007/s00266-024-03961- y"
1325,1391617,26160420,59,10.1186/s40643-021-00416-2,strong,10.1186/s40643-021-00416-z,Strawberry agro-industrial by-products as a source of bioactive compounds: effect of cultivar on the phenolic profile and the antioxidant capacity,Springer Science and Business Media LLC,2021,145.90892,1.0,1.0,1.0,13,1.0,True,"Villamil-Galindo E, Van de Velde F, Piagentini AM (2021). Strawberry agro-industrial by-products as a source of bioactive compounds: effect of cultivar on the phenolic profile and the antioxidant capacity. Bioresources and Bioprocessing 8: 61","Villamil-Galindo E, Van de Velde F, Piagentini AM (2021). Strawberry agro-industrial by-products as a source of bioactive compounds: effect of cultivar on the phenolic profile and the antioxidant capacity. Bioresources and Bioprocessing 8: 61. https://doi.org/10.1186/s40643-021-00416-2"
1371,1325523,23779975,24,10.1046/j,strong,10.1046/j.1442-2026.2003.00499.x,Comparison of a verbal numeric rating scale with the visual analogue scale for the measurement of acute pain,Wiley,2003,143.82646,1.0,1.0,1.0,11,1.0,True,"24. Holdgate A, Asha S, Craig J, Thompson J. Comparison of a verbal numeric rating scale with the Visual Analogue Scale for the measurement of acute pain. Emerg Med (Fremantle). 2003;15(5-6):441-446. doi: . 1442-2026.2003.00499.x","24. Holdgate A, Asha S, Craig J, Thompson J. Comparison of a verbal numeric rating scale with the Visual Analogue Scale for the measurement of acute pain. Emerg Med (Fremantle). 2003;15(5-6):441-446. doi:10.1046/j. 1442-2026.2003.00499.x"
1432,1227790,19125848,11,10.12714/egejfas.2008.25.4.5000156609,no_match,10.11646/zootaxa.4052.3.5,"Description of a new species of Hemigrammocapoeta (Teleostei: Cyprinidae) from Lake Işıklı, Turkey",Magnolia Press,2015,62.893124,0.2756,0.2222,0.0167,9,1.0,False,"Gülle, İ., Turna, I., Güçlü, S.S., Küçük, F., & Gülle, P. (2008). The vertical profile of water temperature, dissolved oxygen, pH and conductivity in Lake Burdur, Turkey. Ege University Journal of Fisheries & Aquatic Sciences, 25(4), 283–287","Gülle, İ., Turna, I., Güçlü, S.S., Küçük, F., & Gülle, P. (2008). The vertical profile of water temperature, dissolved oxygen, pH and conductivity in Lake Burdur, Turkey. Ege University Journal of Fisheries & Aquatic Sciences, 25(4), 283–287. https://doi.org. 10.12714/egejfas.2008.25.4.5000156609"
1502,1278854,21343544,14,10.1016/0029-7844(95),strong,10.1016/0029-7844(95)00386-x,A united states national reference for fetal growth,Ovid Technologies (Wolters Kluwer Health),1996,98.145454,1.0,1.0,1.0,6,1.0,True,"14. Alexander GR, Himes JH, Kaufman RB, Mor J, Kogan M. A United States national reference for fetal growth. Obstet Gynecol. 1996;87(2):163-8. Doi: 00386-X. PMID: 8559516","14. Alexander GR, Himes JH, Kaufman RB, Mor J, Kogan M. A United States national reference for fetal growth. Obstet Gynecol. 1996;87(2):163-8. Doi: 10.1016/0029-7844(95) 00386-X. PMID: 8559516."
1505,1186250,17161741,9,10.48550/arxiv.1003.0783,no_match,10.7551/mitpress/7503.001.0001,Advances in Neural Information Processing Systems 19,The MIT Press,2007,64.95111,0.7022,1.0,0.2609,5,0.0,True,"Blei, D. M. ve Mcauliffe, J. D. (2007). Supervised topic models. J. Platt ve diğerleri (Ed.) Neural Information Processing Systems: Proceedings of Advances in Neural Information Processing Systems 20 (s. 121-128) içinde. Vancouver, Canada. doi:","Blei, D. M. ve Mcauliffe, J. D. (2007). Supervised topic models. J. Platt ve diğerleri (Ed.) Neural Information Processing Systems: Proceedings of Advances in Neural Information Processing Systems 20 (s. 121-128) içinde. Vancouver, Canada. doi: 10.48550/arXiv.1003.0783"
1613,1264649,20693334,7,10.5137/1019-5149,strong,10.5137/1019-5149.jtn.44241-23.1,"Common vertebral fracture level after the 2023 turkey earthquake, thoracolumbar junction, due to hyper-flexed and fixed posture at trýangle of life areas",Turkish Neurosurgical Society,2023,170.42223,0.8844,0.9444,0.5746,18,1.0,True,"8. Alpergin BC, Mete EB, Zaimoglu M, Caglar YS, Orhan O, Hasimoglu S, et al. Common vertebral fracture level after the 2023 Turkey earthquake: thoracolumbar junction - due to hyper-flexed and fixed posture - at trian- gle of life areas. Turk Neurosurg. 2023 Jul 10. doi: . JTN.44241-23.1. [Epub ahead of print]","8. Alpergin BC, Mete EB, Zaimoglu M, Caglar YS, Orhan O, Hasimoglu S, et al. Common vertebral fracture level after the 2023 Turkey earthquake: thoracolumbar junction - due to hyper-flexed and fixed posture - at trian- gle of life areas. Turk Neurosurg. 2023 Jul 10. doi: 10.5137/1019-5149. JTN.44241-23.1. [Epub ahead of print]."
1761,1360087,25235731,17,10.5812/intjsh.104315,possible,10.18535/jmscr/v8i5.60,Study of Gynaecological Problems Faced by Adolescents in a Tertiary Care Centre,Valley International,2020,50.035183,0.5453,0.7143,0.2621,7,0.0,True,"17. Gupta N, Srivastava A, Varun N, Anwar A, Nigam A. A prospective study on profile of gynaecological problems in adolescent girls at a tertiary care centre. Int J Sch Health. 2020;7(4):e104315. doi:","17. Gupta N, Srivastava A, Varun N, Anwar A, Nigam A. A prospective study on profile of gynaecological problems in adolescent girls at a tertiary care centre. Int J Sch Health. 2020;7(4):e104315. doi:10.5812/intjsh.104315"
1986,1180407,16891274,25,10.37990/medr,strong,10.37990/medr.873475,"Evaluation of Corpus Callosum Morphometry in Pediatric Population, is there any Difference Between Genders ?",LookUs Bilisim A.S.,2021,219.3531,0.925,1.0,1.0,11,0.5,True,"25. Kapici OB, Baykan AH. Evaluation of Corpus Callosum Morphometry in Pediatric Population, is there any Difference Between Genders ? Pediatrik Popülasyonda Korpus Kallozum Morfometrisinin Değerlendirilmesi, Cinsiyetler Arasında Fark Var Mı? Med Rec 2021;3:80–6","25. Kapici OB, Baykan AH. Evaluation of Corpus Callosum Morphometry in Pediatric Population, is there any Difference Between Genders ? Pediatrik Popülasyonda Korpus Kallozum Morfometrisinin Değerlendirilmesi, Cinsiyetler Arasında Fark Var Mı? Med Rec 2021;3:80–6. https://doi.org/10.37990/medr."
1987,1180407,16891283,34,10.1007/s00415-010-5503-x/tables/4,strong,10.1007/s00415-010-5503-x,Corpus callosum index and long-term disability in multiple sclerosis patients,Springer Science and Business Media LLC,2010,102.00156,0.9,1.0,1.0,9,1.0,False,"34.Yaldizli Ö, Atefy R, Gass A, et al. Corpus callosum index and long-term disability in multiple sclerosis patients. J Neurol2010;257:1256–64","34.Yaldizli Ö, Atefy R, Gass A, et al. Corpus callosum index and long-term disability in multiple sclerosis patients. J Neurol2010;257:1256–64. https://doi.org/10.1007/S00415-010-5503-X/TABLES/4."
2040,1190770,17543423,46,10.1016/j,strong,10.1016/j.jpor.2019.06.005,Color changes of polyetheretherketone (PEEK) and polyoxymethelene (POM) denture resins on single and combined staining/cleansing action by CIELab and CIEDE2000 formulas,Japan Prosthodontic Society,2020,199.78769,1.0,1.0,1.0,16,1.0,True,"[46] Polychronakis N, Lagouvardos P, Polyzois G, Sykaras N, Zoidis P. Color changes of polyetheretherketone (PEEK) and polyoxymethelene (POM) denture resins on single and combined staining/cleansing action by CIELab and CIEDE2000 formulas. J Prosthodont Res. 2020;64:159-166. DOI: . jpor.2019.06.005","[46] Polychronakis N, Lagouvardos P, Polyzois G, Sykaras N, Zoidis P. Color changes of polyetheretherketone (PEEK) and polyoxymethelene (POM) denture resins on single and combined staining/cleansing action by CIELab and CIEDE2000 formulas. J Prosthodont Res. 2020;64:159-166. DOI: 10.1016/j. jpor.2019.06.005."
2399,1214790,21570032,17,10.7816/ulakbilge-06-26-08,no_match,10.29228/sssj.60613,Ikonografik Ve Ikonolojik Eleştiri Yöntemine Göre Osman Hamdi Bey’in “Kaplumbağa Terbiyecisi” Adli Eserinin Analizi,ASOS Yayinevi,2022,68.12036,0.3171,0.4615,0.3164,13,0.0,False,"Dağlıoğlu, Aysel-İnce, Metin. “İkonografi Ve İkonoloji Eleştiri Yöntemine Göre Salvador Dali’nin “Çarmıhtaki Aziz Juan İsa’sı” Adlı Eserinin Analizi”. Ulakbilge Dergisi, 6 (26), 2018, ss.945-965","Dağlıoğlu, Aysel-İnce, Metin. “İkonografi Ve İkonoloji Eleştiri Yöntemine Göre Salvador Dali’nin “Çarmıhtaki Aziz Juan İsa’sı” Adlı Eserinin Analizi”. Ulakbilge Dergisi, 6 (26), 2018, ss.945-965. https://doi.org/10.7816/ulakbilge-06-26-08"
2530,1333057,24222718,23,10.14359/51684395,no_match,10.3390/ma12081198,A Review of Durability and Strength Characteristics of Alkali-Activated Slag Concrete,MDPI AG,2019,53.67128,0.5745,0.8571,0.5154,7,0.0,False,"Ghafoori, N., & Diaz-Loya, I. (2012). Shrinkage Cracking and Durability Characteristics of Alkali-Activated Slag Concrete. Materials Journal, 109(2), 209-217","Ghafoori, N., & Diaz-Loya, I. (2012). Shrinkage Cracking and Durability Characteristics of Alkali-Activated Slag Concrete. Materials Journal, 109(2), 209-217. https://doi.org/10.14359/51684395."
2532,1333057,24222749,54,10.3390/buildings13040278,strong,10.3390/buildings13041075,Durability Deterioration of Geopolymer Stabilized Soft Soil under Sodium Sulfate and Magnesium Sulfate Attack: A Comparative Study,MDPI AG,2023,139.17337,1.0,1.0,1.0,13,1.0,True,"Yi, X., Wang, G., Zhang, B., Zhang, G., Liu, Y., & Luo, Z. (2023). Durability Deterioration of Geopolymer Stabilized Soft Soil under Sodium Sulfate and Magnesium Sulfate Attack: A Comparative Study. Buildings, 13(4)","Yi, X., Wang, G., Zhang, B., Zhang, G., Liu, Y., & Luo, Z. (2023). Durability Deterioration of Geopolymer Stabilized Soft Soil under Sodium Sulfate and Magnesium Sulfate Attack: A Comparative Study. Buildings, 13(4). https://doi.org/10.3390/buildings13040278."
2657,1267976,21218821,19,10.1097/nmd.000.000.0000001271,strong,10.1097/nmd.0000000000001271,Religiosity and Spirituality in the Stages of Recovery From Persistent Mental Disorders,Ovid Technologies (Wolters Kluwer Health),2020,112.40568,0.9,1.0,1.0,7,1.0,False,"Saiz J, Chen-Chen X, Mills PJ. Religiosity and spirituality in the stages of recovery from persistent mental disorders. The Journal of Nervous and Mental Disease 2021; 209(2):106-113.DOI:","Saiz J, Chen-Chen X, Mills PJ. Religiosity and spirituality in the stages of recovery from persistent mental disorders. The Journal of Nervous and Mental Disease 2021; 209(2):106-113.DOI: 10.1097/NMD.000.000.0000001271"
2697,1180099,16878249,50,10.1016/j,strong,10.1016/j.foodchem.2008.03.078,Antioxidant activity of peptides isolated from alfalfa leaf protein hydrolysate,Elsevier BV,2008,125.916595,1.0,1.0,1.0,8,1.0,True,"Xie Z, Huang J, Xu X, Jin Z (2008). Antioxidant activity of peptides isolated from alfalfa leaf protein hydrolysate. Food Chemistry 111 (2): 370-376. . foodchem.2008.03.078","Xie Z, Huang J, Xu X, Jin Z (2008). Antioxidant activity of peptides isolated from alfalfa leaf protein hydrolysate. Food Chemistry 111 (2): 370-376. https://doi.org/10.1016/j. foodchem.2008.03.078"
2757,1285519,21727332,25,10.1002/j.2164-,possible,10.1002/j.2164-490x.2000.tb00088.x,From Values Clarification to Character Education: A Personal Journey,Wiley,2000,75.25829,0.6603,0.8333,0.5097,6,0.0,True,"Kirschebaum, H. (2000). From values clarfication to character education: a personal journey. Journal of Humaistic Counseling and Development, 39(1), 4-17. 490X.2000.tb00088.x","Kirschebaum, H. (2000). From values clarfication to character education: a personal journey. Journal of Humaistic Counseling and Development, 39(1), 4-17. https://doi.org/10.1002/j.2164- 490X.2000.tb00088.x"
2804,1332319,23919933,20,10.1080/19368623.2022.213660,strong,10.1080/19368623.2022.2136601,The Great Resignation and Quiet Quitting paradigm shifts: An overview of current situation and future research directions,Informa UK Limited,2022,145.17119,1.0,1.0,1.0,12,1.0,True,"Formica, S., & Sfodera, F. (2022). The great resignation and quiet quitting paradigm shifts: An overview of current situation and future research directions. Journal of Hospitality Marketing and Management, 31(8), 899-907","Formica, S., & Sfodera, F. (2022). The great resignation and quiet quitting paradigm shifts: An overview of current situation and future research directions. Journal of Hospitality Marketing and Management, 31(8), 899-907. https://doi.org/10.1080/19368623.2022.213660"
3090,1281855,21524533,30,10.5455/ovj.2024.v14,strong,10.5455/ovj.2024.v14.i2.9,Some essential oils as potential control agents for varroa mite (Varroa destructor) in infected honey bees (Apis mellifera),ScopeMed,2024,178.95634,0.95,1.0,1.0,15,0.6667,True,"30. Alsaadi M, Keshlaf MM, Mirwan HB: Some essential oils as potential control agents for Varroa mite (Varroa destructor) in infected honey bees (Apis mellifera). Open Vet J, 14 (2): 692, 2024. DOI: . i2.9","30. Alsaadi M, Keshlaf MM, Mirwan HB: Some essential oils as potential control agents for Varroa mite (Varroa destructor) in infected honey bees (Apis mellifera). Open Vet J, 14 (2): 692, 2024. DOI: 10.5455/OVJ.2024.v14. i2.9"
3206,1201931,17961136,45,10.1080/0951,strong,10.1007/978-3-642-10430-5_110,Modelling Dynamic Bottlenecks in Production Networks,Springer Berlin Heidelberg,2010,62.571136,0.95,1.0,1.0,5,0.6667,True,"B. Scholz-Rieter, K. Windt and H. Liu, (DET2009) Modelling Dynamic Bottlenecks in Production Networks. International Journal of Computer Integrated Manufacturing, no. 1, 2010. 192x.2010.511655","B. Scholz-Rieter, K. Windt and H. Liu, (DET2009) Modelling Dynamic Bottlenecks in Production Networks. International Journal of Computer Integrated Manufacturing, no. 1, 2010. 10.1080/0951 192x.2010.511655"
3243,1348525,24547282,10,10.1016/j,strong,10.1016/j.jdent.2017.05.010,Adhesive interfacial characteristics and the related bonding performance of four self-etching adhesives with different functional monomers applied to dentin,Elsevier BV,2017,136.1258,1.0,1.0,1.0,15,1.0,True,"10. Wang R, Shi Y, Li T, Pan Y, Cui Y, Xia W. Adhesive interfacial characteristics and the related bonding performance of four self-etching adhesives with different functional monomers applied to dentin. J Dent. 2017; 62:72-80.doi: . jdent.2017.05.010","10. Wang R, Shi Y, Li T, Pan Y, Cui Y, Xia W. Adhesive interfacial characteristics and the related bonding performance of four self-etching adhesives with different functional monomers applied to dentin. J Dent. 2017; 62:72-80.doi: 10.1016/j. jdent.2017.05.010. [CrossRef ]"
3293,1314702,23066136,6,10.1249/01.mss.0000078924.61453,strong,10.1249/01.mss.0000078924.61453.fb,International Physical Activity Questionnaire: 12-Country Reliability and Validity,Ovid Technologies (Wolters Kluwer Health),2003,106.44815,1.0,1.0,1.0,7,1.0,True,"Craig, C. L., Marshall, A. L., Sjöström, M., Bauman, A. E., Booth, M. L., Ainsworth, B. E., et al. (2003). International physical activity questionnaire: 12- country reliability and validity. Medicine and Science in Sports and Exercise, 35(8), 1381–1395. .FB","Craig, C. L., Marshall, A. L., Sjöström, M., Bauman, A. E., Booth, M. L., Ainsworth, B. E., et al. (2003). International physical activity questionnaire: 12- country reliability and validity. Medicine and Science in Sports and Exercise, 35(8), 1381–1395. https://doi.org/10.1249/01.MSS.0000078924.61453 .FB"
3391,1313989,22999863,89,10.7275/ktzq-jq66,no_match,10.1201/9781466503243-20,Principal components analysis,Chapman and Hall/CRC,2011,33.847443,0.75,1.0,1.0,2,0.0,False,"Osborne, J.W., & Costello, A.B. (2004). Sample size and subject to item ratio in principal components analysis. Practical Assessment, Research, and Evaluation, 9(11), 1-9","Osborne, J.W., & Costello, A.B. (2004). Sample size and subject to item ratio in principal components analysis. Practical Assessment, Research, and Evaluation, 9(11), 1-9. https://doi.org/10.7275/ktzq-jq66"
3416,1180140,16879921,2,10.5281/zenodo.573273,no_match,10.22514/sv132.112017.14,Comparıng pulse pressure varıatıon and pleth varıabılıty ındex in the semı-recumbent and trendelenburg posıtıon ın crıtıcally ıll septıc patıents,MRE Press,2017,44.914284,0.1422,0.0667,0.0275,15,0.0,True,"Ameyaw S. & Anto, S. K., (2017). Gender varıatıon ın readıng habıts ın schools in moland: a case study of asantekwaa s.d. a. junıor hıgh school. European Journal of Education Studies, 3(5), 688-704","Ameyaw S. & Anto, S. K., (2017). Gender varıatıon ın readıng habıts ın schools in moland: a case study of asantekwaa s.d. a. junıor hıgh school. European Journal of Education Studies, 3(5), 688-704. https://dx.doi.org/10.5281/zenodo.573273."
3432,1289569,22887598,22,10.14781/mcd.2014308140,strong,10.14781/mcd.26337,GESTALT KURAMININ ÖĞRENCİLERİN HARİTA OKUMA VE YORUMLAMA BECERİ DÜZEYLERİ ÜZERİNE ETKİSİNİ BELİRLEMEYE YÖNELİK BİR İNCELEME,International Journal of Geography and Geography Education,2014,192.09828,0.7508,0.8333,0.2121,12,1.0,True,"Koç, H., & Bulut, İ. (2014). Gestalt kuramının öğrencilerin harita okuma ve yorumlama becerileri üzerine etkisini belirlemeye yönelik bir inceleme. Marmara Coğrafya Dergisi, 30, 1-19","Koç, H., & Bulut, İ. (2014). Gestalt kuramının öğrencilerin harita okuma ve yorumlama becerileri üzerine etkisini belirlemeye yönelik bir inceleme. Marmara Coğrafya Dergisi, 30, 1-19. https://doi.org/10.14781/MCD.2014308140"
3497,1269439,20898371,22,10.1080/030.982.60120067673,strong,10.1080/03098260120067673,What Do They Bring With Them? The fieldwork experiences of undergraduates on entry into higher education,Informa UK Limited,2001,123.1266,1.0,1.0,1.0,10,1.0,True,"Dalton, R. T. (2001). What do they bring with them? The fieldwork experiences of undergraduates on entry into higher education. Journal of Geography in Higher Education, 25(3), 379-393","Dalton, R. T. (2001). What do they bring with them? The fieldwork experiences of undergraduates on entry into higher education. Journal of Geography in Higher Education, 25(3), 379-393. https://doi.org/10.1080/030.982.60120067673"
3627,1372690,25529395,76,10.1007/s00181-015-1021-y,strong,10.1007/s00181-015-1028-6,The Fourier approximation and testing for the null of cointegration,Springer Science and Business Media LLC,2015,98.604576,0.9,1.0,1.0,5,1.0,False,"Tsong, C. C., Lee, C. F., Tsai, L. J. & Hu, T. C. (2016). The Fourier approximation and testing for the null of cointegration. Empirical Economics, 51(3), 1085-1113. doi:","Tsong, C. C., Lee, C. F., Tsai, L. J. & Hu, T. C. (2016). The Fourier approximation and testing for the null of cointegration. Empirical Economics, 51(3), 1085-1113. doi: 10.1007/s00181-015-1021-y."
3659,1209081,18315163,41,10.1590/2175-8239-,strong,10.1590/2175-8239-jbn-2021-0035,Renal biopsy in children with IgA vasculitis,FapUNIFESP (SciELO),2022,100.05764,1.0,1.0,1.0,5,1.0,True,"41. Kara MA, Kiliç BD, Büyükçelik M. Balat A. Renal biopsy in children with IgA vasculitis. Journal Brasilerio de Nephrologia 2022; 44 (1): 48-57. JBN-2021-0035","41. Kara MA, Kiliç BD, Büyükçelik M. Balat A. Renal biopsy in children with IgA vasculitis. Journal Brasilerio de Nephrologia 2022; 44 (1): 48-57. https://doi.org/10.1590/2175-8239- JBN-2021-0035"
3673,1388707,26059191,22,10.1080/00218839.2020.1728294,no_match,10.1080/00218839.2020.1726033,Honeys from some different regions of Azerbaijan: bioactive characteristics based on phenolic profile and antioxidant activity,Informa UK Limited,2020,46.16807,0.2535,0.2727,0.0175,11,0.0,True,"Yücel, B., & Sorkun, K. (2020). Determination of antimicrobial activity and some physicochemical parameters of sunflower honeys from Turkey. Journal of Apicultural Research, 59(3), 410–419","Yücel, B., & Sorkun, K. (2020). Determination of antimicrobial activity and some physicochemical parameters of sunflower honeys from Turkey. Journal of Apicultural Research, 59(3), 410–419. https://doi.org/10.1080/00218839.2020.1728294"
3695,1328696,23752717,3,10.31838/jcr.07.17.141,no_match,10.21203/rs.3.rs-33699/v1,Impact of the COVID-19 Pandemic on Urology Practice in Indonesia: A Nationwide Survey,Springer Science and Business Media LLC,2020,27.647741,0.3427,0.25,0.2762,8,0.3333,True,"Ardan M, Rahman F.F. & Geroda, G.B. (2020). Theinfluence of physicaldistancetostudentanxiety on Covid-19, Indonesia. J CritRev. 7(17), 1126–32. DOI:","Ardan M, Rahman F.F. & Geroda, G.B. (2020). Theinfluence of physicaldistancetostudentanxiety on Covid-19, Indonesia. J CritRev. 7(17), 1126–32. DOI: 10.31838/jcr.07.17.141."
3750,1285408,21723305,27,10.5829/idosi.wasj.2012.19.05.1114,no_match,10.5897/ajbm10.047,Gender wage differentials in the Malaysian services sector,Academic Journals,2011,49.381615,0.596,0.6667,0.3966,6,1.0,False,"Ismail, R. ve Jajri, I. (2012). Gender wage differentials and discrimination in Malaysian labour market. World Applied Sciences Journal, 19 (5), 719-728. DOI:","Ismail, R. ve Jajri, I. (2012). Gender wage differentials and discrimination in Malaysian labour market. World Applied Sciences Journal, 19 (5), 719-728. DOI: 10.5829/idosi.wasj.2012.19.05.1114"
