sample_index,publication_id,reference_id,category,match_status,match_type,match_score,extracted_url,resolved_url,status_code,title,raw_context
17,1311311,22813337,url_web,strong,live_url_verified,1.0,https://www.youtube.com/watch?v=6de4akFiNYM,https://www.youtube.com/watch?v=6de4akFiNYM,200,,"Adobe Video & Motion. (2024, 15 April). Generative AI in Premiere Pro powered by Adobe Firefly | Adobe Video [Video]. Retrieved from https://www.youtube.com/watch?v=6de4akFiNYM on May 16, 2024."
32,1348868,24565234,url_web,strong,live_url_verified,1.0,https://www.sbb.gov.tr/wp-content/uploads/2023/12/On-Ikinci-Kalkinma-Plani_2024-2028_11122023.pdf,https://www.sbb.gov.tr/wp-content/uploads/2023/12/On-Ikinci-Kalkinma-Plani_2024-2028_11122023.pdf,200,,"[6]. T.C. Cumhurbaşkanlığı Strateji ve Bütçe Başkanlığı, https://www.sbb.gov.tr/wp- content/uploads/2023/12/On-Ikinci-Kalkinma-Plani_2024-2028_11122023.pdf , (2023)."
35,1249355,20048152,url_web,strong,live_url_verified,1.0,https://twitter.com/hekimsen/status/1526457625638051842/photo/2,https://x.com/hekimsen/status/1526457625638051842,200,"X'te Hekimsen: ""HEKİMSEN 17-18 MAYIS EYLEMİ BASIN BİLDİRİSİ 

#TükettiğinizHekimeUlaşılamıyor https://t.co/ARITMMEIaS"" / X","Twitter. (2022). Hekimsen 17-18 Mayıs basın açıklaması. https://twitter.com/hekimsen/status /1526457625638051842/photo/2, (03.05.2023)."
39,1206982,18224388,report_policy_legal,strong,live_url_verified,1.0,https://www.mevzuat.gov.tr/MevzuatMetin/1.5.6458.pdf,https://www.mevzuat.gov.tr/MevzuatMetin/1.5.6458.pdf,200,,Türkiye Cumhuriyeti. (2013). Yabancılar ve Uluslararası Koruma Kanunu [Law No. 6458]. https://www.mevzuat.gov.tr/MevzuatMetin/1.5.6458.pdf
40,1206982,18224392,url_web,no_match,url_dead_and_not_archived,0.0,https://www.resmigazete.gov.tr/eskiler/2021/11/20211129M1-1-4.pdf,,404,,Türkiye Cumhuriyeti. (2021). Cumhurbaşkanlığı Kararnamesi No. 85. https://www.resmigazete.gov.tr/eskiler/2021/11/20211129M1-1-4.pdf
48,1331693,23886312,url_web,strong,live_url_verified,1.0,https://crlt.umich.edu/sites/default/files/instructor_resources/strategies_for_effective_lesson_planning.pdf,https://crlt.umich.edu/sites/default/files/instructor_resources/strategies_for_effective_lesson_planning.pdf,200,,"Milkova, S. (2016). Strategies for effective lesson planning. University of Michigan: Center for Research on Learning and Teaching. https://crlt.umich.edu/sites/default/files/instructor_resources/strategies_for_effective_lesson_planning.pdf"
50,1320153,24622035,url_web,strong,live_url_verified,1.0,https://www.rudaw.net/turkish/kurdistan/030820201,https://www.rudaw.net/turkish/categories/kurdistan/1176838,200,,Rudaw Gazetesi (03.08.2020). Şengal Katliamı: Bir insanlık dramı. https://www.rudaw.net/turkish/kurdistan/030820201
70,1156170,17531545,url_web,strong,live_url_verified,1.0,https://www.aa.com.tr/tr/politika/milli-savunma-bakani-akar-tacikistanda-cumhurbaskani-rahman-ile-gorustu/2291528,https://www.aa.com.tr/tr/politika/milli-savunma-bakani-akar-tacikistanda-cumhurbaskani-rahman-ile-gorustu/2291528,200,,"ANADOLU AJANSI, “Milli Savunma Bakanı Akar Tacikistan’da Cumhurbaşkanı Rahman ile görüştü” https://www.aa.com.tr/tr/politika/milli-savunma-bakani-akar-tacikistanda-cumhurbaskani-rahman-ile-gorustu/2291528 , 05.08.2022"
85,1313642,22974168,url_web,strong,live_url_verified,1.0,https://wrp.lrfoundation.org.uk/news/climate-change-a-serious-risk,https://www.lrfoundation.org.uk/news/climate-change-a-serious-risk,200,Climate Change: a serious Risk | Lloyd's Register Foundation,"Ng, R. (2020, 27 Ekim). Climate Change: A Serious Risk. World Risk Poll. https://wrp.lrfoundation.org.uk/news/climate-change-a-serious-risk"
124,1328813,24656098,url_web,strong,live_url_verified,1.0,https://www.whitehouse.gov/fact-sheets/2025/04/fact-sheet-president-donald-j-trump-declares-national-emergency-to-increase-our-competitive-edge-,https://www.whitehouse.gov/fact-sheets/2025/04/fact-sheet-president-donald-j-trump-declares-national-emergency-to-increase-our-competitive-edge-protect-our-sovereignty-and-strengthen-our-national-and-economic-security/,200,"Fact Sheet: President Donald J. Trump Declares National Emergency to Increase our Competitive Edge, Protect our Sovereignty, and Strengthen our National and Economic Security – The White House","72 “Fact Sheet: President Donald J. Trump Declares National Emergency to Increase our Com- petitive Edge, Protect our Sovereignty, and Strengthen our National and Economic Security,” The White House, April 2, 2025, https://www.whitehouse.gov/fact-sheets/2025/04/fact-sheet- president-donald-j-trump-declares-national-emergency-to-increase-our-competitive-edge- protect-our-sovereignty-and-strengthen-our-national-and-economic-security/ (Accessed: 27.05.2025)."
125,1258017,20526969,hidden_doi,no_match,url_dead_and_not_archived,0.0,http://doi.org/10.5923/j.ijit.20160501.05,,404,,"Alblehai, F. (2016). The utilization of Web 2.0 tools in Saudi Higher Education: Opportunities and challenges. International Journal of Internet of Things, 5(1), 37-40. http://doi.org/ 10.5923/j.ijit.20160501.05"
127,1258017,20526986,url_web,strong,live_url_verified,1.0,https://www.ajindex.com/dosyalar/makale/acarindex-1423904346.pdf,https://www.ajindex.com/dosyalar/makale/acarindex-1423904346.pdf,200,,"Elmas, R., ve Geban, Ö. (2012). Web 2.0 tools for 21st century teachers. International Online Journal of Educational Sciences, 4(1), 243-254. https://www.ajindex.com/dosyalar/makale/acarindex-1423904346.pdf"
141,1343383,24345305,url_web,strong,live_url_verified,1.0,https://www.fao.org/faostat/en/#home(Access,https://www.fao.org/faostat/en/#home(Access,200,FAOSTAT,Anonymous. (2023). https://www.fao.org/faostat/en/#home (Access date: 02.10.2023)
151,1255181,20305587,url_web,no_match,url_dead_and_not_archived,0.0,https://www.goldmansachs.com/intelligence/archive/how-solid.html,,404,,"O’Neill, J., Wilson, D., Purushothaman, R., & Stupnytska, A. (2005). How Solid Are the BRICs? (Goldman Sachs Global Economics 134). https://www.goldmansachs.com/intelligence/archive/how-solid.html"
165,1226924,19075610,url_web,no_match,url_dead_and_not_archived,0.0,https://core.ac.uk/download/pdf/6379575.pdf,,404,,"İnsel, A., and Sungur, N. (2003). Sermaye Akımlarının Temel Makroekonomik Göstergeler Üzerindeki Etkileri: Türkiye Örneği-1989: III-1999: IV (Discussion Paper No. 2003/8). Türkiye Ekonomi Kurumu. https://core.ac.uk/download/pdf/6379575.pdf"
167,1195235,17617683,url_web,strong,live_url_verified,1.0,https://www.uwinnipeg.ca/global-english-education/countries-in-which-english-is-mandatory-or-optional-subject.html,https://www.uwinnipeg.ca/global-english-education/countries-in-which-english-is-mandatory-or-optional-subject.html,202,,The University of Winnipeg (2021). Global English Education Policy. https://www.uwinnipeg.ca/global-english-education/countries-in-which-english-is-mandatory-or-optional-subject.html
175,1360498,25051534,url_web,strong,live_url_verified,1.0,https://www.architonic.com/fr/project/kontur-ctrl-n-breaking-thesurface/5102645,https://www.architonic.com/fr/pr/breaking-the-surface/5102645/,200,Breaking the Surface – Découvrez le projet de Kontur / Ctrl+n | Architonic,Url-26 Erişim [08.01.2025] https://www.architonic.com/fr/project/kontur-ctrl-n-breaking-thesurface/5102645
237,1280839,21466826,report_policy_legal,no_match,url_dead_and_not_archived,0.0,"https://data.worldbank.org/,(erişim",,,,"Dünya Bankası. (2023). World Bank Open Data. https://data.worldbank.org/, (erişim tarihi: 09.09.2023)."
268,1326191,23640866,hidden_doi,no_match,url_dead_and_not_archived,0.0,http://dx.doi.org/10.2305/IUCN.UK.2018-,,404,,"Güner A., Özhatay N., Ekim T. & Başer K. H. C. (2000). Flora of Turkey and the east Aegean islands Vol. 11. Edinburgh Univ. Press, Edinburgh.Juan Vicedo, J. (2018). Pancratium maritimum. The IUCN Red List of Threatened Species 2018: e.T18990540A57467022. http://dx.doi.org/10.2305/IUCN.UK.2018-"
272,1325665,23618985,url_web,strong,live_url_verified,1.0,https://katalog.devletarsivleri.gov.tr/,https://katalog.devletarsivleri.gov.tr/,200,,"BOA, Osmanlı Arşivi. Hatt-ı Hümayun [HAT]. No. 1011-B. https://katalog.devletarsivleri.gov.tr/"
273,1325665,23618998,url_web,strong,live_url_verified,1.0,https://katalog.devletarsivleri.gov.tr/,https://katalog.devletarsivleri.gov.tr/,200,,"BOA, Osmanlı Arşivi. Sadaret Mektûbî Nezâir ve Devâir Kalemi Evrakı [A.MKT.NZD]. No. 315, Gömlek No. 42. https://katalog.devletarsivleri.gov.tr/"
298,1223442,19304472,report_policy_legal,no_match,url_dead_and_not_archived,0.0,https://github.com/ahmetaa/zemberek-nlpSon,,404,,"https://github.com/ahmetaa/zemberek-nlp Son erişim tarihi: 12 Kasım 2019. İstanbul, Ankara ve İzmir Baroları Ortak Çalıştay Raporu “Yapay Zekâ Çağında Hukuk”. https://www.istanbulbarosu.org.tr/files/docs/yapayzekacagindahukuk.pdf Son erişim tarihi: 12 Kasım 2019."
299,1223442,19304474,url_web,no_match,url_dead_and_not_archived,0.0,https://github.com/akoksal/Turkish-Word2VecSon,,404,,https://github.com/akoksal/Turkish-Word2Vec Son erişim tarihi: 5 Eylül 2021.
