sample_index,publication_id,reference_id,reference_order,exclusive_category,alignment_score,alignment_source,grobid_index,grobid_doi,grobid_title,grobid_journal,grobid_year,grobid_authors,grobid_volume,grobid_issue,grobid_pages,experiment19_status,resolver,matched_id,matched_doi,matched_title,matched_year,matched_venue,confidence,title_similarity,title_coverage,title_token_count,author_coverage,year_match,title_pair_similarity,title_pair_coverage,query,context
19,1185661,17184433,14,conference,1.0,match_report,14,,The role and use of creative practice in research and its contribution to knowledge,,2007,K Niedderer; S Roworth-Stokes,,,15,no_match,grobid_crossref_bibliographic,,10.4324/9780429324154-17,Mapping the nature of knowledge in creative and practice-based research,2021,Routledge,0.5202,0.0176,0.6667,6,1.0,False,0.2597,0.6667,The role and use of creative practice in research and its contribution to knowledge niedderer 2007,"14. Niedderer, K., Roworth-Stokes, S., (2007), The role and use of creative practice in research and its contribution to knowledge. International Association of Societies of Design Research, IASDR07 Conference. 1–18, 12-15 November 2007, Hong Kong: Hong Kong Polytechnic University, p.15."
30,1239899,20206230,23,other,1.0,match_report,23,,A history of modern Europe: From the Renaissance to the present,,2009,J Merriman,,,,no_match,grobid_crossref_bibliographic,,10.4324/9780203136744-11,Renaissance: The missed opportunities,2013,Routledge,0.253,0.3485,0.3333,3,0.0,False,0.3878,0.3333,A history of modern Europe: From the Renaissance to the present merriman 2009,"Merriman, J. (2009). A history of modern Europe: From the Renaissance to the present. WW Norton & Company."
44,1286621,21779113,9,conference,1.0,match_report,10,,Türkiye'de buğday üretimi ve destekleme politikaları. 3rd International Congress of the Turkish Journal of Agriculture -Food Science and Technology,,2023,E Ken; A Semerci,,,54-63,no_match,grobid_crossref_bibliographic,,10.24925/turjaf.v10i11.2213-2223.5510,Türkiye’ de Tarım Sektörü Kaynaklı Çevre Tahribatını Önleme Politikaları Kapsamında Destekleme Alan Üreticilerin İncelenmesi (Seyfe Gölü Yöresi Hububat Üreticileri Örneği),2022,Turkish Science and Technology Publishing (TURSTEP),0.0901,0.0163,0.1579,19,0.0,False,0.3706,0.2308,Türkiye'de buğday üretimi ve destekleme politikaları. 3rd International Congress of the Turkish Journal of Agriculture -Food Science and Technology ken 2023,"Ken, E., & Semerci, A. (2023). Türkiye’de buğday üretimi ve destekleme politikaları. 3rd International Congress of the Turkish Journal of Agriculture - Food Science and Technology, 13-16 September 2023, Malatya, 54-63."
45,1286621,21779119,15,conference,1.0,match_report,16,,Türkiye'de çeltik üretiminde mazot ve gübre desteği uygulaması: Çanakkale ili örneği,,2022,A Semerci; A D Çelik,,,822-831,no_match,grobid_crossref_bibliographic,,10.30910/turkjans.711440,Çeltik Üretiminde Maliyet Faktörlerinin Farklılık Analizleri: Çanakkale İli Örneği (*),2020,Turk Tarim ve Doga Bilimleri Dergisi,0.5225,0.3345,0.5556,9,1.0,False,0.561,0.5556,Türkiye'de çeltik üretiminde mazot ve gübre desteği uygulaması: Çanakkale ili örneği semerci 2022,"Semerci, A., & Çelik, A.D. (2022). Türkiye’de çeltik üretiminde mazot ve gübre desteği uygulaması: Çanakkale ili örneği. Çukurova 8th International Scientific Researches Conference, April 15-17, Adana, 822-831."
46,1331693,23886292,5,journal_like_left,1.0,match_report,5,,Why did I ask that question? Bilingual/ESL pre-service teachers' insights,International Journal of Instruction,2013,Z Diaz; M Whitacre; J J Esquierdo; J A Ruiz-Escalante,6,2,163-176,no_match,grobid_crossref_bibliographic,,10.1080/15235882.2017.1385547,<i>¡Guiamos!</i>: A university-based program for pre-service bilingual and ESL teachers,2017,Informa UK Limited,0.4013,0.2879,0.625,8,0.0,False,0.4342,0.625,Why did I ask that question? Bilingual/ESL pre-service teachers' insights diaz 2013 International Journal of Instruction,"Diaz, Z., Whitacre, M., Esquierdo, J. J., & Ruiz-Escalante, J. A. (2013). Why did I ask that question? Bilingual/ESL pre-service teachers’ insights. International Journal of Instruction, 6(2), 163–176."
49,1320153,23381983,76,journal_like_left,1.0,match_report,78,,Feminist perspectives in international relations,Harvard International Review,1999,J A Tickner,21,4,44-48,no_match,grobid_crossref_bibliographic,,10.4135/9781848608290.n14,Feminist Perspectives on International Relations,2002,SAGE Publications Ltd,0.8044,0.5222,1.0,4,1.0,False,0.9792,1.0,Feminist perspectives in international relations tickner 1999 Harvard International Review,"Tickner, J. A. (1999). Searching for the princess?. Feminist perspectives in international relations, Harvard International Review, 21 (4), 44-48."
53,1188828,17270319,52,journal_like_left,1.0,match_report,52,,Participatory Planning; Providing Conceptual Model of Factors Affecting Children's Participation in Urban Planning,Creative City Design,2018,H Sarvari,1,1,37-42,no_match,grobid_crossref_bibliographic,,10.1680/jurdp.24.00034,Factors influencing the creative city model in Iran,2025,Emerald,0.4352,0.3429,0.6667,6,0.0,False,0.3537,0.3333,Participatory Planning; Providing Conceptual Model of Factors Affecting Children's Participation in Urban Planning sarvari 2018 Creative City Design,"Sarvari, H. (2018). Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning. Creative City Design, 1(1), 37–42."
71,1197104,17730825,23,other,1.0,match_report,23,,"Neoliberazim, Finansallaşma Ve Emek Piyasaları",Journal Of Emerging Economies And Policy,2016,Ş Daldal,,,85-104,no_match,grobid_crossref_bibliographic,,10.1501/iltaras_0000000168,Kapitalist emek sürecinin öğeleri ekseninde kültürel endüstriler ve yaratıcı emek,2016,Ankara University,0.2685,0.2312,0.2222,9,0.0,True,0.2381,0.25,"Neoliberazim, Finansallaşma Ve Emek Piyasaları daldal 2016 Journal Of Emerging Economies And Policy","Daldal, Ş. (2016) “Neoliberazim, Finansallaşma Ve Emek Piyasaları”, Journal Of Emerging Economies And Policy, 1 December, 85- 104."
73,1197104,17730863,61,other,1.0,match_report,61,,Flexibility in Decision Making. An Exploration and Unification,,1978,M Mandelbaum,,,,no_match,grobid_crossref_bibliographic,,10.1016/0377-2217(90)90310-8,Flexibility and decision making,1990,Elsevier BV,0.6905,0.3277,1.0,3,0.5,False,0.6304,1.0,Flexibility in Decision Making. An Exploration and Unification mandelbaum 1978,"Mandelbaum, M. (1978) Flexibility in Decision Making. An Exploration and Unification, Toronto: Department of Industrial Engineering, University of Toronto."
81,1209869,18378693,37,journal_like_left,1.0,raw_similarity,35,,Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama,Sosyal Ekonomik Araştırmalar Dergisi,2011,S Yapraklı,11,22,373-401,no_match,grobid_crossref_bibliographic,,10.25294/auiibfd.1351380,Uluslararası Rekabet Gücünü Etkileyen Makroekonomik Faktörler: Türkiye Savunma Sanayi Üzerine Bir Uygulama,2023,Akdeniz Universitesi Iktisadi ve Idari Bilimler Dergisi,0.5821,0.7106,0.8,10,0.0,False,0.9417,0.8,Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama yaprakli 2011 Sosyal Ekonomik Araştırmalar Dergisi,"Yapraklı, S. (2011). Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama. Sosyal Ekonomik Araştırmalar Dergisi, 11(22), 373-401."
